Date,Open,High,Low,Close,Adj Close,Volume
5/23/2022,18.129999,19.08,16.040001,18.99,18.99,5432000
5/30/2022,18.82,20.17,17.879999,18.540001,18.540001,4365900
6/6/2022,19.030001,19.940001,17.67,18.02,18.02,4493400
6/13/2022,17.01,19.129999,16.690001,18.860001,18.860001,6465900
6/20/2022,19.01,22.6,18.65,22.200001,22.200001,5837800
6/27/2022,22.360001,22.610001,19.110001,22.190001,22.190001,5418300
7/4/2022,22.01,25.049999,21.83,24.25,24.25,5146600
7/11/2022,23.719999,23.889999,19.48,20.620001,20.620001,5258900
7/18/2022,21.1,23.5,20.469999,22.620001,22.620001,5009500
7/25/2022,22.52,23.280001,17.98,18.559999,18.559999,12673800
8/1/2022,18.51,21.219999,18.1,20.639999,20.639999,7623800
8/8/2022,20.639999,21.91,18.9,19.33,19.33,5970900
8/15/2022,19.35,20.18,17.700001,18.049999,18.049999,5499500
8/22/2022,17.84,18.530001,17.16,17.5,17.5,3923200
8/29/2022,17.23,18.02,16.530001,17.09,17.09,3778700
9/5/2022,17.09,17.950001,16.389999,17.91,17.91,3300400
9/12/2022,17.860001,18.58,15.79,16,16,5342400
9/19/2022,15.87,16.040001,13.58,13.72,13.72,7466200
9/26/2022,13.45,14.24,13.29,13.62,13.62,6376600
10/3/2022,13.63,15.27,13.27,14.11,14.11,9084000
10/10/2022,14.1,14.15,12.21,12.34,12.34,5682500
10/17/2022,12.77,13.9,11.76,12.41,12.41,9628300
10/24/2022,12.4,13.45,11.88,13.4,13.4,9374600
10/31/2022,13.24,14.63,12.23,12.24,12.24,8170700
11/7/2022,12.4,14.92,11.39,14.85,14.85,15406200
11/14/2022,14.6,15.28,12.14,12.16,12.16,10317100
11/21/2022,11.87,12.06,11.29,11.79,11.79,4084500
11/28/2022,11.75,12.59,11.36,12.38,12.38,7652200
12/5/2022,12.35,12.35,10.58,11.25,11.25,5524200
12/12/2022,11.26,11.54,11.11,11.46,11.46,974900
